1;1
2;9
3;1
4;11
5;11
6;9
7;11
8;11
9;6
10;11
11;11
12;11
13;1
14;11
15;11
16;11
17;1
18;11
19;11
20;11
21;11
22;1
23;11
24;7
25;11
26;9
27;9
28;1
29;11
30;9
31;11
32;11
33;11
34;11
35;1
36;11
37;1
38;11
39;5
40;1
41;1
42;11
43;9
44;9
45;9
46;6
47;10
48;11
49;11
50;11
51;11
52;11
53;11
54;11
55;11
56;7
57;1
58;1
59;11
60;11
61;8
62;11
63;11
64;3
65;11
66;5
67;1
68;11
69;11
70;3
71;9
72;8
73;1
74;2
75;3
76;11
77;5
78;11
79;7
80;11
81;10
82;11
83;1
84;9
85;1
86;8
87;1
88;1
89;11
90;9
91;11
92;2
93;1
94;6
95;10
96;11
97;1
98;1
99;10
100;11
101;1
102;10
103;1
104;1
105;7
106;11
107;11
108;11
109;6
110;1
111;6
112;9
113;7
114;1
115;1
116;1
117;11
118;11
119;6
120;9
121;11
122;11
123;9
124;11
125;1
126;11
127;11
128;11
129;1
130;11
131;11
132;11
133;11
134;11
135;11
136;11
137;11
138;11
139;1
140;10
141;1
142;1
143;1
144;11
145;11
146;11
147;1
148;11
149;11
150;11
151;11
152;11
153;7
154;1
155;1
156;7
157;11
158;11
159;1
160;11
161;10
162;7
163;3
164;10
165;11
166;11
167;11
168;11
169;2
170;11
171;11
172;7
173;3
174;11
175;7
176;11
177;5
178;1
179;7
180;1
181;1
182;9
183;9
184;11
185;9
186;11
187;4
188;11
189;4
190;7
191;11
192;11
193;6
194;11
195;11
196;11
197;11
198;7
199;11
200;7
201;1
202;9
203;11
204;9
205;11
206;11
207;9
208;6
209;6
210;6
211;5
212;9
213;11
214;1
215;11
216;11
217;6
218;6
219;6
220;11
221;6
222;6
223;5
224;11
225;11
226;11
227;11
228;1
229;11
230;1
231;6
232;7
233;1
234;11
235;11
236;1
237;11
238;1
239;1
240;1
241;10
242;9
243;11
244;1
245;7
246;10
247;10
248;7
249;1
250;1
251;11
252;1
253;11
254;11
255;9
256;1
257;11
258;11
259;4
260;11
261;1
262;2
263;11
264;1
265;1
266;6
267;11
268;9
269;1
270;11
271;11
272;1
273;1
274;2
275;11
276;1
277;11
278;11
279;11
280;1
281;1
282;1
283;11
284;1
285;11
286;10
287;1
288;11
289;11
290;11
291;10
292;1
293;1
294;1
295;11
296;11
297;11
298;11
299;1
300;6
301;11
302;11
303;9
304;11
305;11
306;11
307;11
308;11
309;11
310;11
311;11
312;11
313;10
314;11
315;11
316;11
317;10
318;11
319;9
320;9
321;9
322;1
323;1
324;1
325;11
326;11
327;1
328;1
329;11
330;6
331;11
332;11
333;11
334;10
335;11
336;11
337;11
338;11
339;10
340;11
341;1
342;11
343;9
344;1
345;11
346;11
347;11
348;11
349;11
350;11
351;4
352;11
353;1
354;11
355;4
356;10
357;11
358;11
359;11
360;3
361;1
362;1
363;9
364;11
365;6
366;7
367;4
368;11
369;11
370;7
371;7
372;11
373;7
374;1
375;1
376;11
377;1
378;9
379;1
380;7
381;9
382;1
383;9
384;11
385;1
386;11
387;11
388;11
389;11
390;6
391;1
392;1
393;1
394;11
395;11
396;11
397;11
398;11
399;11
400;11
401;10
402;11
403;10
404;5
405;11
406;11
407;1
408;6
409;10
410;11
411;1
412;6
413;7
414;8
415;8
416;1
417;8
418;1
419;11
420;9
421;11
422;10
423;1
424;10
425;11
